angle_deg,marker_id,cx,cy,cz,nx,ny,nz
20,1,106.073,1.0149e+31,8.81796e+18,3.09363e-10,-1,3.01404e-09
20,2,0.232404,-1.85009e+18,0.914722,5.23394e-20,-1,5.07133e-19
20,3,-0.0237307,-1.85009e+18,0.715128,0,0,0
20,4,105.983,5.94854e+23,1.12439e+26,0.390187,-0.352224,0.850701
15,1,-0.165992,0.267107,0.565709,3.24466e-10,-1,3.36984e-09
15,2,0.2396,-1.85009e+18,0.914882,1.09138e-20,-1,4.91283e-19
15,3,0.0359548,-1.85009e+18,0.715144,0,0,0
15,4,-0.240624,0.537609,0.710043,0.359972,-0.382072,0.851141
10,1,-0.144341,-4.75401e+08,0.552954,2.37831e-10,-1,3.38004e-09
10,2,0.24567,-1.85009e+18,0.914734,-1.66129e-20,-1,4.83154e-19
10,3,0.0951974,-1.85009e+18,0.714997,-0.042482,-0.572883,0.818535
10,4,-0.192883,-4.62413e+08,0.710079,0.322436,-0.414176,0.851172
5,1,-0.119797,-4.57584e+08,0.539592,0.0404232,-0.243608,0.969031
5,2,0.249367,-1.85009e+18,0.914835,5.16773e-20,-1,5.23035e-19
5,3,0.153738,-1.85009e+18,0.713601,-0.0929891,-0.570029,0.816345
5,4,-0.143762,0.572039,0.709169,0.288528,-0.440501,0.850124
0,1,-0.092059,-4.57732e+08,0.539564,7.60153e-11,-1,3.38001e-09
0,2,0.251457,-1.85009e+18,0.914772,-1.01083e-20,-1,4.98965e-19
0,3,0.211307,-1.85009e+18,0.713628,-0.142348,-0.55662,0.818481
0,4,-0.0932851,0.582288,0.709166,0.245294,-0.46412,0.851131
-5,1,-0.0635396,-4.72924e+08,0.538973,-9.38432e-12,-1,3.37891e-09
-5,2,0.251656,-1.85009e+18,0.914716,-5.13985e-21,-1,5.07119e-19
-5,3,0.267196,-1.85009e+18,0.713606,-1.50032e-19,1,6.46117e-19
-5,4,-0.0421601,0.588185,0.709109,0.206094,-0.48041,0.852485
-10,1,-0.0345514,-4.58094e+08,0.538999,-4.83184e-11,-1,3.36695e-09
-10,2,0.249585,-1.85009e+18,0.914832,-1.49295e-20,-1,5.07322e-19
-10,3,0.31815,-1.85009e+18,0.742681,-0,-0,0
-10,4,0.00925768,0.589694,0.709082,0.163209,-0.499556,0.850768
-15,1,-0.00530792,-4.66843e+08,0.539024,-0.0513025,-0.246931,0.967674
-15,2,0.245869,-1.85009e+18,0.914818,-5.69754e-20,-1,4.91528e-19
-15,3,0.359456,-1.85009e+18,0.786056,-0,0,0
-15,4,0.0605933,-4.78301e+08,0.709019,0.11831,-0.512032,0.85078
-20,1,0.0239122,-4.80178e+08,0.539013,-0.0448898,-0.257208,0.965313
-20,2,0.240371,-1.85009e+18,0.914737,-6.87189e-20,-1,4.91666e-19
-20,3,0.410354,-1.85009e+18,0.757048,-5.00098e-09,-1,1.13944e-08
-20,4,0.111545,0.579308,0.708928,0.0759081,-0.518667,0.8516
-25,1,0.0529824,-4.58819e+08,0.539039,-2.7799e-10,-1,3.38167e-09
-25,2,0.233034,-1.85009e+18,0.914667,-4.8942e-20,-1,5.07113e-19
-25,3,0.452923,-1.85009e+18,0.757079,-0,-0,0
-25,4,0.161683,-5.56629e+08,0.708717,0.0287856,-0.523718,0.851405
